#{"t_start": 1697674191.667181, "env_id": "LunarLander-v2"}
r,l,t
-84.107248,176,131.396956
-102.016873,1000,133.596768
-127.280928,624,134.183868
-86.986742,74,134.200977
-131.843115,1000,135.444413
-262.879802,216,135.530516
-69.053269,376,135.812939
-68.003554,198,135.886461
-236.112626,91,135.903609
-177.291248,343,136.115765
-73.879938,183,136.173198
-220.438069,454,136.580215
-120.867782,152,136.619557
-220.674342,108,136.642731
-62.107412,148,139.808288
-183.392152,99,139.827484
-153.381173,706,140.524274
-132.66357,301,140.70266
-116.883679,302,140.882923
35.202544,978,142.566027
-61.644469,209,142.632837
-138.213867,344,142.824616
-97.703048,504,143.259983
-180.351901,97,143.277625
-238.916413,155,143.312686
-188.43008,89,143.331772
-75.985895,456,143.564899
184.911748,371,143.884877
-152.418564,92,143.902786
-190.263847,283,147.034933
-157.535631,251,147.148217
-161.399848,404,147.373346
-212.38383,83,147.39073
-157.136544,240,147.507137
-241.090827,131,147.537409
-126.451345,361,147.744401
-196.270311,224,147.829845
-138.121727,156,147.866128
-169.706524,91,147.88183
158.815606,478,148.299808
-132.633688,328,148.490856
-155.305132,297,148.620087
-218.431025,86,148.635503
-107.699144,199,148.713196
-154.913243,351,572.568499
-111.579644,244,572.655749
-98.11057,376,572.928922
-150.730112,316,573.119906
-177.264568,299,573.274046
-126.716214,366,573.46111
-116.467079,291,573.574394
-114.904214,286,573.738225
-46.834539,335,573.894986
-37.636143,106,573.915622
-168.465489,266,574.015166
-87.887472,352,574.161447
34.53067,93,574.177711
-67.546306,104,574.199867
-126.936194,444,574.586888
139.198037,855,579.02892
-116.091024,120,579.051274
-358.837645,553,579.499068
260.280923,512,579.83368
-234.759268,627,580.432448
-80.257352,341,580.657983
-44.555404,1000,582.689112
-59.746092,512,583.211595
174.000279,527,583.596449
-210.829067,1000,584.654792
-222.186069,203,584.727612
-118.078388,330,584.934052
-189.932256,1000,586.091487
-161.012433,145,586.126682
-75.374378,233,586.218701
81.316151,817,691.465292
-148.744542,758,692.343585
-115.023263,681,692.980685
-90.047044,101,693.000609
-85.95664,1000,693.785912
-52.743711,1000,695.124818
15.11353,88,695.141283
-31.578529,75,695.15484
191.171563,326,695.315133
-179.514228,894,696.544634
-156.281008,112,696.56958
-42.405748,421,696.934261
-176.407957,151,696.978464
-103.41159,108,696.999978
-137.451697,757,697.797879
-230.472245,100,703.594017
159.844594,767,704.199775
-59.193585,89,704.218481
11.230397,96,704.237894
-128.418795,120,704.262809
-86.477272,1000,705.408934
-23.016883,70,705.421091
-274.665104,946,789.352797
-88.427789,1000,791.639296
-158.26098,293,791.804177
5.29971,75,791.816849
-59.81406,104,791.836457
-171.837379,327,791.973064
-41.141368,108,791.998306
-106.929078,393,792.255952
-22.557666,320,794.372298
-6.073456,94,794.390751
14.989176,123,794.415863
1.904965,156,794.460422
-148.982432,251,794.538389
284.843782,268,794.628386
-64.589808,306,794.811538
-232.366877,834,795.537984
-122.991848,1000,911.389787
165.071668,383,911.681057
-105.077869,671,912.652058
-192.791178,220,912.730327
-18.224916,90,912.74719
-228.403112,323,912.892846
-158.864656,249,912.977778
-7.467406,104,918.054105
-66.553088,304,918.217799
-306.04727,107,918.237932
-162.378669,417,918.500875
-170.944718,486,918.94228
-161.858502,312,919.119966
-122.925706,101,919.139259
-127.111297,298,919.270304
-163.074997,498,919.658324
-66.566156,226,919.735298
96.505986,512,920.136301
185.202075,557,920.601733
-113.102333,340,920.785421
-77.463908,400,921.19361
-109.940334,793,921.96844
-216.840924,483,1034.062345
-111.036143,117,1034.085155
-56.568948,159,1034.127826
-106.872862,136,1034.161496
-195.511327,170,1034.21216
-53.37006,260,1034.362416
120.265854,746,1035.258868
-108.738972,176,1035.305786
-231.976691,190,1035.363487
-114.99523,576,1036.099398
-60.698292,504,1036.548733
