#{"t_start": 1697684642.142205, "env_id": "LunarLander-v2"}
r,l,t
-222.212471,575,5336.771064
-169.717968,719,6275.752593
-27.404968,143,6275.785106
-7.806986,386,6276.060323
-7.145723,208,6276.119262
253.63303,337,6276.331283
234.13979,300,6276.502579
189.360623,324,6276.67608
-45.419834,142,6276.70606
-25.452429,210,7196.404498
-269.108625,998,7197.930847
267.311354,228,7198.008225
223.357533,517,7198.279215
288.08516,183,7198.326875
117.431061,487,7198.774026
7.15536,1000,7918.535995
211.165793,791,7919.943665
274.251037,218,7920.022102
-198.426091,476,7920.3409
173.992634,254,7920.451528
298.047881,230,7920.537422
246.040975,246,7920.652209
-72.027669,1000,7922.129067
-30.296651,1000,7923.500938
-99.320277,1000,7925.859693
161.844246,679,7926.424608
246.363688,215,7926.502434
173.845269,265,7926.613497
227.550382,326,7926.817051
-0.384324,1000,7928.025206
-76.473013,1000,7929.274098
-98.672722,150,7929.305919
-225.105084,777,7930.338553
231.241328,368,7930.567565
229.684893,337,7930.718908
-102.777792,294,7930.822298
257.395085,514,7931.33715
213.861628,206,7931.392577
226.92645,313,7931.586091
-89.035155,1000,8921.25485
208.947996,442,8921.637972
-61.999495,134,8921.66401
287.980254,261,8921.770503
15.902817,152,8921.804879
244.730059,247,8921.898417
205.974226,651,8922.57706
251.308937,310,8922.716573
206.983405,506,9021.726293
241.780394,334,9021.935936
255.409887,599,9022.153206
264.375667,278,9022.280526
206.169241,470,9022.765031
243.229898,227,9022.859465
239.900732,286,9022.973927
-87.847426,187,9026.956755
268.944122,233,9027.065138
-26.859553,203,9027.115911
203.611185,428,9027.372077
237.28919,284,9027.504828
58.428136,144,9027.539725
224.888123,312,9027.723895
33.835619,1000,9411.777548
-93.837975,170,9411.819043
221.853509,324,9412.002461
18.360073,1000,9414.019123
256.470647,627,9414.662878
294.949897,187,9414.729278
-26.977218,152,9414.762054
224.948662,370,9414.971219
53.055133,242,10371.143039
216.090112,370,10371.3359
219.62919,681,10372.00254
