#{"t_start": 1697720412.5152571, "env_id": "LunarLander-v2"}
r,l,t
-177.100153,203,195.744871
-174.855353,1000,197.274223
-177.934664,240,197.392554
-145.422077,1000,200.211124
-128.587554,1000,201.609055
-149.034085,652,202.596453
-189.03225,1000,205.117492
-125.907592,1000,206.978273
-66.465566,129,207.014607
-142.414714,146,207.060687
-100.437442,1000,209.004761
-99.363927,1000,210.401701
-214.751647,1000,212.006331
-176.584997,634,218.857107
-274.394838,893,220.269839
-211.386548,297,220.422983
-165.760873,111,220.44918
-276.245185,888,221.688511
-186.29042,232,221.782655
-191.751386,1000,223.348889
-173.206284,334,223.576577
-170.36444,225,223.684045
-239.233212,1000,225.194554
-189.949729,243,225.313437
28.598656,245,225.429537
-174.80781,532,225.8124
-8.038197,231,225.917436
-135.711845,1000,227.631249
-108.480757,410,233.883439
-163.090479,1000,235.544533
-103.652518,334,235.761259
-99.047041,134,235.799495
-259.661955,838,237.177413
-85.648522,259,237.290159
-145.684005,424,237.498451
-164.685263,228,237.604432
-248.997188,659,238.654152
-60.304766,265,238.783698
-155.88724,73,238.796553
-121.496898,147,238.845193
-148.803318,1000,240.975231
-191.694364,637,241.701243
-73.118713,356,241.937759
-163.234999,90,247.326896
-113.388551,102,247.354382
-153.323157,85,247.374213
-95.197126,385,247.638156
-147.27196,263,247.77667
-181.641544,692,248.690539
-68.635452,1000,249.86514
-119.597745,432,250.148338
-201.6579,1000,251.730835
-139.378442,397,252.055587
-181.907878,295,252.189287
-154.505756,313,252.33314
-211.746731,126,252.367698
-47.701435,252,252.501571
-61.315532,1000,255.193074
-237.027054,133,260.729164
-138.965085,132,260.763712
-191.499199,305,260.943966
-44.379772,314,261.099486
-302.086044,832,262.361604
-141.155808,398,262.600567
-77.323906,297,262.791529
-148.291973,350,263.06143
-136.986099,203,263.142243
118.159059,669,263.994308
-115.560923,482,264.280107
-175.324589,409,264.587215
-188.827701,571,265.067281
-189.485788,417,265.471272
-156.851923,577,266.09934
-95.815223,281,272.724212
-178.031394,319,272.911385
-69.971459,291,273.051176
-81.653434,346,273.208448
-102.164477,241,273.30731
-100.751389,358,273.583511
-174.685807,372,273.908931
-91.033715,267,274.051129
-232.951635,492,274.441198
-129.755034,1000,276.517978
-194.844625,122,276.547055
-104.060529,376,276.891928
-155.028892,126,276.923082
-174.414314,100,276.943805
-121.962848,414,277.208961
-54.689258,192,282.663133
-195.685143,95,282.681113
-162.837361,1000,284.486442
-1.186701,162,284.537809
-239.976005,476,284.962204
-111.019855,1000,286.983839
-132.696163,224,287.06653
-306.26508,528,287.59912
-129.899429,975,289.670786
-12.637448,1000,291.925963
-128.352478,431,292.338758
-225.170422,599,293.045138
-158.002786,690,293.934966
-82.311138,382,294.174069
-108.523811,207,294.267986
-19.628712,437,300.426262
-166.780427,219,300.506846
-64.307955,317,300.647374
66.666117,808,301.682362
-170.420458,204,301.762174
-123.922885,484,302.260251
-65.224155,1000,303.558798
-52.43099,270,303.684069
-147.532388,357,303.99244
-44.171692,462,304.43982
-196.492436,828,306.23934
-210.321895,682,307.119433
-47.890308,1000,309.358792
-76.811349,1000,311.773195
-178.518124,107,311.795619
-129.961289,328,318.077426
-62.857013,292,318.241724
-200.063314,411,318.519952
-4.708586,1000,321.462404
-157.901131,366,321.720628
-154.712421,258,321.829964
-238.859068,532,322.499411
14.582999,178,322.551566
-79.887573,1000,324.160254
-38.390272,167,324.204866
-69.110255,431,324.574058
-156.124697,246,324.685302
-20.598255,100,324.709438
-195.05153,257,324.856296
-46.123822,456,325.251157
-90.280771,425,331.884443
-110.254909,570,332.723064
-68.625849,1000,335.010158
-243.637078,877,336.391795
125.640927,716,337.702617
-152.136395,258,337.799762
155.667943,537,338.39129
-162.797718,94,338.409823
-45.148962,552,339.227331
-128.810333,588,340.230539
-188.950343,967,341.663633
106.42568,737,342.96634
-237.713421,466,343.394629
-72.734902,572,344.233397
-47.476739,421,344.637785
-97.901492,581,351.242352
-163.153708,630,352.128607
-92.29072,677,353.405491
-124.123458,388,353.700172
-17.705716,425,354.00269
-63.996713,449,354.35992
34.17286,481,354.824462
-48.798463,524,355.286007
-86.250492,414,355.692265
-88.542622,599,356.396235
-92.059329,1000,357.890563
-39.437605,424,358.19176
-54.129906,180,358.247535
-92.429674,590,359.18675
-144.546344,646,360.334278
-104.485917,496,366.43917
-89.277631,72,366.454178
-51.918413,62,366.466099
13.421844,250,366.560823
-92.898994,449,366.957519
-83.934963,577,367.640066
-81.004506,589,368.239535
-122.827312,201,368.293569
-71.105509,224,368.395248
-17.132869,388,368.629899
-59.773948,213,368.704117
-66.404288,564,369.183463
-76.813842,668,370.233879
5.56192,364,370.566964
-147.592684,88,370.583601
-200.92824,171,376.511558
-60.067942,166,376.562147
-34.354762,469,376.919536
-66.217596,655,377.907305
-101.309803,572,378.489654
-22.767417,364,378.723644
-16.738534,215,378.820677
109.323151,806,380.392789
-89.722869,717,381.291787
-1.658284,230,381.370768
-36.184194,384,381.597797
-41.231396,212,381.677211
-66.251306,457,382.022692
-54.099371,579,382.779036
-99.33933,613,383.381747
-130.42826,574,389.73313
-132.569048,616,390.464711
-159.600648,632,391.172342
-42.163439,102,391.197735
-141.041058,187,391.269704
-123.946689,700,392.237818
-213.781404,583,392.777918
-47.625599,430,393.216796
-78.357918,607,394.158787
-118.888606,606,394.82056
-203.279042,991,396.594901
-99.28407,619,397.536878
-176.006669,833,399.087323
-9.24275,108,399.113595
-19.42398,271,399.23144
-123.637949,663,405.659332
-107.572609,1000,407.30242
-147.551389,330,407.526906
-151.880522,880,409.011946
-113.08076,1000,410.716605
-199.865056,976,412.242471
-104.430795,401,412.633798
-88.004345,250,412.720721
-108.983214,1000,414.503666
-90.921837,576,415.168764
-97.722994,620,415.880999
-89.976429,838,416.892407
-119.269134,1000,418.202384
-171.914216,1000,420.611923
-135.824505,329,420.859978
-94.316111,499,427.459314
-59.608011,362,427.727017
-115.093659,599,428.557941
-20.776391,459,429.050107
208.010462,518,429.501066
-33.986999,358,429.715767
-87.746,404,429.924341
-156.363762,604,430.778504
-85.562613,389,431.008945
-31.430056,313,431.229263
-48.799886,504,431.748381
-85.047016,159,431.79824
-80.12497,516,432.421562
-173.419621,476,432.92647
-160.30341,253,433.039625
-139.694134,1000,440.392282
-136.45208,627,440.992164
-142.525621,295,441.200192
-199.836826,697,442.181027
-110.28572,262,442.304605
-100.678466,121,442.337621
-163.789437,621,443.098779
-151.864123,599,443.885636
-68.249428,1000,446.12279
-121.664644,592,446.865621
-55.012281,1000,448.189125
